LOT_ID,Model,Machine,CZ_Concentration,Press1_Temp,Press1_Time,Press1_Pressure,Press2_Temp,Press2_Time,Press2_Pressure,Press3_Temp,Press3_Time,Press3_Pressure,Cure_Temp,Cure_Time,Anneal_Time,Anneal_Temp
LOT000001,MODEL_A,PRESS_01,9.817,101.508,29.067,5.18,99.478,57.747,10.184,100.45,30.152,6.812,149.433,59.469,89.124,198.622
LOT000002,MODEL_C,PRESS_01,9.91,102.058,29.946,4.531,100.017,55.264,10.155,99.184,29.149,7.375,147.792,59.107,93.118,201.458
LOT000003,MODEL_B,PRESS_02,10.045,100.235,29.621,4.72,100.671,63.402,10.35,101.929,28.415,7.136,152.218,61.241,91.127,203.131
LOT000004,MODEL_B,PRESS_03,9.895,99.362,30.82,4.857,100.845,59.626,10.167,100.194,31.233,7.27,146.562,58.356,90.397,202.07
LOT000005,MODEL_B,PRESS_03,9.954,99.778,30.848,5.262,100.318,63.028,9.962,100.128,29.806,6.982,150.24,61.093,88.024,200.568
LOT000006,MODEL_C,PRESS_03,10.074,100.473,28.165,5.135,98.919,61.59,9.887,99.517,30.823,7.352,149.815,59.464,84.559,200.44
LOT000007,MODEL_A,PRESS_02,9.942,98.437,31.045,5.178,98.13,58.413,10.152,101.913,32.322,7.098,147.269,62.506,94.507,200.535
LOT000008,MODEL_C,PRESS_03,10.038,99.428,29.389,4.991,99.812,54.997,9.937,98.747,30.669,6.825,150.542,59.029,101.736,196.192
LOT000009,MODEL_A,PRESS_03,10.265,101.435,30.236,4.737,100.971,59.076,10.016,99.297,30.337,7.248,148.844,57.778,76.631,199.823
LOT000010,MODEL_A,PRESS_01,9.971,98.954,29.061,5.496,100.45,59.926,10.17,100.854,31.226,6.708,152.806,61.238,75.645,199.64
LOT000011,MODEL_B,PRESS_03,10.197,99.251,30.371,4.767,100.242,60.901,10.046,100.24,30.804,7.515,151.673,60.986,81.903,197.988
LOT000012,MODEL_C,PRESS_01,10.093,100.013,32.551,5.14,99.993,57.778,10.103,99.423,28.737,7.336,150.369,60.824,87.059,201.757
LOT000013,MODEL_C,PRESS_02,9.755,100.283,30.127,4.963,100.309,60.356,9.736,99.452,31.333,6.902,145.847,61.693,88.252,200.47
LOT000014,MODEL_C,PRESS_03,9.816,99.375,29.54,5.188,99.006,60.355,10.45,99.709,29.954,6.938,149.074,57.996,90.848,195.638
LOT000015,MODEL_C,PRESS_02,9.861,100.077,29.768,4.798,100.78,61.972,9.631,100.102,31.541,7.044,148.945,58.423,90.483,200.391
LOT000016,MODEL_C,PRESS_03,9.858,100.608,28.531,5.351,100.846,59.386,10.146,101.554,30.507,6.942,152.017,62.639,89.076,202.127
LOT000017,MODEL_B,PRESS_01,9.985,101.961,31.449,5.459,99.645,60.886,9.838,100.605,31.192,7.44,150.297,60.871,98.481,199.007
LOT000018,MODEL_A,PRESS_02,10.102,99.874,30.313,5.33,100.437,60.577,10.361,101.023,29.775,6.82,150.528,59.089,83.828,198.292
LOT000019,MODEL_C,PRESS_03,10.209,99.959,28.951,5.053,98.283,61.751,10.295,99.566,28.483,6.499,151.696,56.473,96.048,197.851
LOT000020,MODEL_B,PRESS_02,10.051,101.527,28.984,4.855,100.18,58.36,9.999,100.516,30.564,6.914,152.718,57.512,103.234,200.166
LOT000021,MODEL_B,PRESS_03,9.926,99.451,30.015,5.941,99.867,53.858,10.518,98.445,30.977,7.251,152.431,58.085,80.196,198.79
LOT000022,MODEL_B,PRESS_02,9.653,98.676,30.932,4.669,101.259,59.526,9.938,100.182,29.443,7.338,150.91,58.878,77.002,197.549
LOT000023,MODEL_A,PRESS_03,10.012,100.25,28.849,5.294,99.801,59.538,10.294,100.118,29.797,7.038,149.547,60.611,91.237,202.7
LOT000024,MODEL_C,PRESS_02,10.004,101.076,31.113,5.111,100.869,57.685,9.758,101.821,27.786,6.789,150.725,57.268,94.312,200.34
LOT000025,MODEL_C,PRESS_03,10.03,100.361,29.908,4.979,99.609,56.984,10.135,101.558,29.845,6.985,149.945,58.944,90.241,199.126
LOT000026,MODEL_B,PRESS_01,10.351,99.903,29.07,5.062,97.714,58.851,9.689,99.742,28.75,6.782,151.31,57.473,75.828,202.79
LOT000027,MODEL_B,PRESS_01,10.207,98.552,29.532,4.83,99.774,59.77,10.006,99.183,30.517,6.232,149.054,59.157,78.755,200.457
LOT000028,MODEL_C,PRESS_01,10.131,99.942,31.749,5.142,100.197,60.191,9.983,99.21,30.335,6.716,151.506,64.769,86.613,199.775
LOT000029,MODEL_B,PRESS_03,9.84,101.233,28.612,5.106,100.151,55.429,10.293,99.705,30.015,7.17,150.078,62.379,92.772,200.363
LOT000030,MODEL_B,PRESS_01,9.915,98.766,29.268,5.893,100.166,56.493,9.776,101.302,31.323,6.91,150.643,61.147,87.637,199.119
LOT000031,MODEL_B,PRESS_01,9.984,99.755,30.953,5.357,99.494,62.259,11.024,100.415,30.241,6.897,148.006,58.955,91.422,199.767
LOT000032,MODEL_A,PRESS_03,9.871,99.613,30.216,5.172,99.676,59.621,9.539,100.518,30.193,7.369,149.544,57.846,91.235,200.973
LOT000033,MODEL_A,PRESS_02,10.083,99.302,29.209,5.192,98.874,59.995,10.078,100.811,30.322,6.679,150.744,59.827,96.208,202.802
LOT000034,MODEL_B,PRESS_01,10.059,100.248,30.965,5.613,98.003,57.333,10.096,99.006,29.417,6.711,149.696,56.893,82.261,199.085
LOT000035,MODEL_C,PRESS_01,9.819,100.443,31.012,4.677,99.894,59.991,10.179,99.291,30.991,7.11,146.089,61.296,90.588,201.047
LOT000036,MODEL_A,PRESS_01,10.199,100.433,30.331,4.939,99.255,59.249,9.828,100.52,29.084,6.763,147.943,59.604,99.591,197.542
LOT000037,MODEL_C,PRESS_03,10.017,99.023,29.388,4.364,101.08,58.763,10.081,99.221,30.423,6.761,150.57,59.945,84.733,200.843
LOT000038,MODEL_C,PRESS_02,9.712,98.354,29.542,5.186,97.818,57.076,9.812,98.474,31.219,7.516,152.507,56.672,85.821,203.006
LOT000039,MODEL_A,PRESS_03,9.991,100.262,30.285,5.283,100.291,58.263,10.624,98.917,28.974,6.643,149.612,60.1,90.575,200.039
LOT000040,MODEL_B,PRESS_01,10.047,99.494,28.688,4.668,102.121,63.944,9.788,101.054,28.658,6.756,149.185,59.522,82.952,199.038
LOT000041,MODEL_A,PRESS_02,10.162,101.838,31.328,5.478,99.817,59.301,9.951,99.626,28.956,7.146,151.754,58.087,82.238,199.114
LOT000042,MODEL_C,PRESS_01,9.944,101.885,31.7,4.76,99.997,61.579,9.779,100.226,31.817,6.984,150.018,60.449,87.686,200.807
LOT000043,MODEL_C,PRESS_02,10.138,101.991,29.764,4.886,100.426,59.607,9.733,98.967,29.391,6.542,151.238,59.203,88.373,200.1
LOT000044,MODEL_B,PRESS_02,10.031,99.06,30.356,5.04,100.505,59.376,9.533,100.379,28.8,7.595,149.507,60.589,95.01,199.326
LOT000045,MODEL_A,PRESS_03,9.781,100.569,31.186,5.531,99.591,58.728,10.224,99.73,30.366,6.735,149.323,61.237,84.022,201.089
LOT000046,MODEL_C,PRESS_02,9.764,100.871,31.956,4.714,98.992,62.691,9.776,100.446,27.276,6.918,151.37,57.83,90.203,198.537
LOT000047,MODEL_B,PRESS_03,10.187,100.758,31.557,5.097,100.653,60.746,9.734,99.522,29.045,7.146,151.121,60.214,98.229,201.442
LOT000048,MODEL_C,PRESS_02,10.199,99.646,28.264,5.258,98.092,58.421,9.679,100.504,31.414,7.721,149.465,60.176,97.832,199.475
LOT000049,MODEL_C,PRESS_01,10.054,101.279,29.684,5.189,100.832,59.212,10.101,99.473,29.045,6.863,148.126,62.487,89.265,201.098
LOT000050,MODEL_C,PRESS_03,10.249,100.0,30.501,5.202,99.608,62.152,10.007,99.92,29.739,6.694,147.218,61.682,91.259,201.4
LOT000051,MODEL_C,PRESS_02,10.176,100.128,29.506,5.254,100.003,54.323,10.009,99.728,30.294,7.166,147.438,59.303,83.965,196.763
LOT000052,MODEL_A,PRESS_01,10.114,98.462,31.783,4.815,99.474,60.621,9.746,100.026,30.295,7.696,148.945,59.149,91.926,199.882
LOT000053,MODEL_B,PRESS_03,9.848,100.645,31.629,5.563,101.431,61.075,10.145,100.279,29.467,7.045,150.528,60.299,100.202,197.452
