LOT_ID,Model,Machine,Defect,Delam_Panel_Count,Yield,Violation_Count,Abnormal_LOT
LOT000001,MODEL_A,PRESS_01,Normal,0,97.87,0,False
LOT000002,MODEL_C,PRESS_01,Delamination,1,0.0,1,True
LOT000003,MODEL_B,PRESS_02,Normal,0,97.74,0,False
LOT000004,MODEL_B,PRESS_03,Normal,0,98.27,0,False
LOT000005,MODEL_B,PRESS_03,Delamination,1,0.0,1,True
LOT000006,MODEL_C,PRESS_03,Normal,0,98.34,0,False
LOT000007,MODEL_A,PRESS_02,Normal,0,97.87,0,False
LOT000008,MODEL_C,PRESS_03,Normal,0,99.27,0,False
LOT000009,MODEL_A,PRESS_03,Normal,0,98.37,0,False
LOT000010,MODEL_A,PRESS_01,Normal,0,97.5,0,False
LOT000011,MODEL_B,PRESS_03,Delamination,1,0.0,1,True
LOT000012,MODEL_C,PRESS_01,Normal,0,98.11,0,False
LOT000013,MODEL_C,PRESS_02,Normal,0,97.22,0,False
LOT000014,MODEL_C,PRESS_03,Normal,0,98.23,0,False
LOT000015,MODEL_C,PRESS_02,Normal,0,99.4,0,False
LOT000016,MODEL_C,PRESS_03,Normal,0,98.32,0,False
LOT000017,MODEL_B,PRESS_01,Normal,0,98.37,0,False
LOT000018,MODEL_A,PRESS_02,Normal,0,98.88,0,False
LOT000019,MODEL_C,PRESS_03,Normal,0,98.08,0,False
LOT000020,MODEL_B,PRESS_02,Normal,0,97.74,0,False
LOT000021,MODEL_B,PRESS_03,Normal,0,98.99,0,False
LOT000022,MODEL_B,PRESS_02,Normal,0,98.49,0,False
LOT000023,MODEL_A,PRESS_03,Normal,0,97.3,0,False
LOT000024,MODEL_C,PRESS_02,Normal,0,98.79,0,False
LOT000025,MODEL_C,PRESS_03,Normal,0,98.72,0,False
LOT000026,MODEL_B,PRESS_01,Normal,0,97.27,0,False
LOT000027,MODEL_B,PRESS_01,Normal,0,96.83,0,False
LOT000028,MODEL_C,PRESS_01,Normal,0,98.03,0,False
LOT000029,MODEL_B,PRESS_03,Normal,0,100.0,0,False
LOT000030,MODEL_B,PRESS_01,Delamination,1,0.0,1,True
LOT000031,MODEL_B,PRESS_01,Normal,0,99.56,0,False
LOT000032,MODEL_A,PRESS_03,Normal,0,97.97,0,False
LOT000033,MODEL_A,PRESS_02,Normal,0,97.92,0,False
LOT000034,MODEL_B,PRESS_01,Normal,0,97.59,0,False
LOT000035,MODEL_C,PRESS_01,Normal,0,97.63,0,False
LOT000036,MODEL_A,PRESS_01,Normal,0,98.93,0,False
LOT000037,MODEL_C,PRESS_03,Delamination,1,0.0,1,True
LOT000038,MODEL_C,PRESS_02,Normal,0,98.32,0,False
LOT000039,MODEL_A,PRESS_03,Normal,0,98.12,0,False
LOT000040,MODEL_B,PRESS_01,Normal,0,97.85,0,False
LOT000041,MODEL_A,PRESS_02,Normal,0,98.35,0,False
LOT000042,MODEL_C,PRESS_01,Normal,0,97.9,0,False
LOT000043,MODEL_C,PRESS_02,Normal,0,97.51,0,False
LOT000044,MODEL_B,PRESS_02,Delamination,1,0.0,1,True
LOT000045,MODEL_A,PRESS_03,Delamination,1,0.0,1,True
LOT000046,MODEL_C,PRESS_02,Normal,0,98.13,0,False
LOT000047,MODEL_B,PRESS_03,Normal,0,98.51,0,False
LOT000048,MODEL_C,PRESS_02,Normal,0,97.05,0,False
LOT000049,MODEL_C,PRESS_01,Normal,0,97.43,0,False
LOT000050,MODEL_C,PRESS_03,Normal,0,98.59,0,False
LOT000051,MODEL_C,PRESS_02,Normal,0,97.69,0,False
LOT000052,MODEL_A,PRESS_01,Normal,0,98.53,0,False
LOT000053,MODEL_B,PRESS_03,Normal,0,97.99,0,False
LOT000054,MODEL_B,PRESS_03,Normal,0,98.7,0,False
LOT000055,MODEL_B,PRESS_01,Normal,0,97.38,0,False
LOT000056,MODEL_A,PRESS_03,Normal,0,97.92,0,False
LOT000057,MODEL_B,PRESS_03,Delamination,1,0.0,1,True
LOT000058,MODEL_A,PRESS_03,Normal,0,98.76,0,False
LOT000059,MODEL_C,PRESS_01,Normal,0,99.15,0,False
LOT000060,MODEL_C,PRESS_02,Normal,0,98.51,0,False
LOT000061,MODEL_C,PRESS_02,Delamination,1,0.0,1,True
LOT000062,MODEL_C,PRESS_02,Normal,0,97.98,0,False
LOT000063,MODEL_B,PRESS_02,Normal,0,98.04,0,False
LOT000064,MODEL_C,PRESS_02,Normal,0,98.04,0,False
LOT000065,MODEL_B,PRESS_02,Normal,0,99.42,0,False
LOT000066,MODEL_A,PRESS_03,Normal,0,98.34,0,False
LOT000067,MODEL_C,PRESS_02,Normal,0,97.53,0,False
LOT000068,MODEL_B,PRESS_01,Normal,0,98.02,0,False
LOT000069,MODEL_A,PRESS_01,Delamination,1,0.0,1,True
LOT000070,MODEL_B,PRESS_03,Normal,0,97.44,0,False
LOT000071,MODEL_C,PRESS_03,Normal,0,99.26,0,False
LOT000072,MODEL_A,PRESS_02,Delamination,1,0.0,1,True
LOT000073,MODEL_B,PRESS_01,Normal,0,97.91,0,False
LOT000074,MODEL_A,PRESS_03,Normal,0,98.87,0,False
LOT000075,MODEL_C,PRESS_01,Delamination,1,0.0,1,True
LOT000076,MODEL_B,PRESS_02,Normal,0,97.78,0,False
LOT000077,MODEL_A,PRESS_01,Normal,0,98.2,0,False
LOT000078,MODEL_A,PRESS_01,Normal,0,98.31,0,False
LOT000079,MODEL_B,PRESS_03,Delamination,1,0.0,1,True
LOT000080,MODEL_C,PRESS_02,Normal,0,99.52,0,False
LOT000081,MODEL_C,PRESS_01,Normal,0,98.31,0,False
LOT000082,MODEL_B,PRESS_02,Normal,0,97.43,0,False
LOT000083,MODEL_A,PRESS_01,Delamination,1,0.0,1,True
LOT000084,MODEL_C,PRESS_02,Normal,0,97.95,0,False
LOT000085,MODEL_B,PRESS_02,Normal,0,98.29,0,False
LOT000086,MODEL_C,PRESS_02,Normal,0,99.33,0,False
LOT000087,MODEL_A,PRESS_03,Normal,0,97.27,0,False
LOT000088,MODEL_A,PRESS_01,Normal,0,98.36,0,False
LOT000089,MODEL_C,PRESS_01,Delamination,1,0.0,1,True
LOT000090,MODEL_C,PRESS_02,Delamination,1,0.0,1,True
LOT000091,MODEL_B,PRESS_03,Normal,0,97.62,0,False
LOT000092,MODEL_C,PRESS_02,Normal,0,98.6,0,False
LOT000093,MODEL_C,PRESS_01,Normal,0,98.44,0,False
LOT000094,MODEL_B,PRESS_03,Normal,0,99.35,0,False
LOT000095,MODEL_C,PRESS_02,Normal,0,98.98,0,False
LOT000096,MODEL_A,PRESS_01,Normal,0,98.66,0,False
LOT000097,MODEL_A,PRESS_02,Normal,0,98.86,0,False
LOT000098,MODEL_C,PRESS_01,Delamination,1,0.0,1,True
LOT000099,MODEL_B,PRESS_03,Normal,0,97.93,0,False
LOT000100,MODEL_A,PRESS_01,Normal,0,98.97,0,False
LOT000101,MODEL_C,PRESS_02,Normal,0,97.99,0,False
LOT000102,MODEL_A,PRESS_02,Normal,0,98.71,0,False
LOT000103,MODEL_C,PRESS_01,Normal,0,98.95,0,False
LOT000104,MODEL_A,PRESS_02,Delamination,1,0.0,1,True
LOT000105,MODEL_C,PRESS_01,Normal,0,98.3,0,False
LOT000106,MODEL_C,PRESS_02,Delamination,1,0.0,1,True
LOT000107,MODEL_C,PRESS_03,Delamination,1,0.0,1,True
LOT000108,MODEL_B,PRESS_03,Normal,0,98.76,0,False
LOT000109,MODEL_B,PRESS_01,Delamination,1,0.0,1,True
LOT000110,MODEL_C,PRESS_01,Normal,0,98.27,0,False
LOT000111,MODEL_A,PRESS_02,Normal,0,97.99,0,False
LOT000112,MODEL_C,PRESS_03,Normal,0,98.41,0,False
